title,certificate,duration,genre,rating,stars,votes
The Departed,R,151,"Crime, Drama, Thriller",8.5,10,1310171
Star Wars: The Clone Wars,TV-PG,23,"Animation, Action, Adventure",8.4,7,94334
Star Trek: Deep Space Nine,TV-PG,45,"Action, Adventure, Drama",8.1,7,62898
Spider-Man,PG-13,121,"Action, Adventure, Sci-Fi",7.4,10,809904
Santo,TV-MA,45,"Action, Crime, Drama",5.0,7,417
Delhi Crime,TV-MA,50,"Crime, Drama",8.5,7,22337
JoJo's Bizarre Adventure,TV-14,30,"Animation, Action, Adventure",8.4,7,22677
House of Cards,TV-MA,51,Drama,8.7,7,500982
American Crime Story,TV-MA,42,"Biography, Crime, Drama",8.4,7,95054
Beauty and the Beast,PG,129,"Adventure, Family, Fantasy",7.1,10,306985
Dynasty,TV-14,42,Drama,7.2,7,22045
Glee,TV-PG,44,"Comedy, Drama, Music",6.8,7,147910
Brooklyn,PG-13,117,"Drama, Romance",7.5,10,142184
The Americans,TV-MA,44,"Crime, Drama, Mystery",8.4,7,98875
Gotham,TV-14,42,"Action, Crime, Drama",7.8,7,229301
Gossip Girl,TV-14,42,"Drama, Romance",7.5,7,173318
Gone Girl,R,149,"Drama, Mystery, Thriller",8.1,10,971322
The Tudors,TV-MA,60,"Drama, History, Romance",8.1,7,74863
Twin Peaks,TV-MA,47,"Crime, Drama, Mystery",8.8,7,196192
The Poison Rose,R,98,"Crime, Mystery, Thriller",4.7,12,9475
Avatar: The Last Airbender,TV-Y7-FV,23,"Animation, Action, Adventure",9.3,7,309241
Hannibal,TV-14,44,"Crime, Drama, Horror",8.5,7,253302
Star Trek: Voyager,TV-PG,44,"Action, Adventure, Sci-Fi",7.8,7,69047
NCIS: Los Angeles,TV-14,43,"Action, Crime, Drama",6.7,7,53571
Persuasion,PG,108,"Drama, Romance",5.7,10,25625
Good Girls,TV-14,43,"Comedy, Crime, Drama",7.7,7,51835
Jogi,TV-MA,116,"Drama, History, Thriller",7.5,10,4105
How to Get Away with Murder,TV-14,43,"Crime, Drama, Mystery",8.1,7,150319
Uncoupled,TV-MA,30,"Comedy, Drama, Romance",7.0,7,13745
Longmire,TV-14,60,"Action, Crime, Drama",8.3,7,35601
The Anthrax Attacks,TV-MA,94,"Documentary, Crime",6.2,10,865
White Collar,TV-PG,40,"Comedy, Crime, Drama",8.3,7,131006
After Life,TV-MA,30,"Comedy, Drama",8.4,7,133432
Outer Banks,TV-MA,50,"Action, Crime, Drama",7.6,7,48115
Derry Girls,TV-MA,30,Comedy,8.5,7,36522
El Camino: A Breaking Bad Movie,TV-MA,122,"Action, Crime, Drama",7.3,10,243473
Anatomy of a Scandal,TV-MA,268,"Drama, Thriller",7.0,7,27590
A Knight's Tale,PG-13,132,"Action, Adventure, Romance",6.9,10,186888
Baywatch,R,116,"Action, Comedy, Crime",5.5,10,185920
Broad Peak,TV-MA,101,"Adventure, Biography, Drama",5.9,10,671
Grimm,TV-14,45,"Crime, Drama, Fantasy",7.8,7,119368
The Sea Beast,PG,115,"Animation, Adventure, Comedy",7.1,10,36407
Operation Mincemeat,PG-13,128,"Drama, War",6.6,10,22162
Alchemy of Souls,Approved,80,"Action, Drama, Fantasy",8.7,7,3769
Chip 'n Dale: Rescue Rangers,PG,97,"Animation, Adventure, Comedy",7.0,10,37904
Wedding Season,TV-PG,98,"Comedy, Romance",6.3,10,6947
Black Sails,TV-MA,56,"Action, Adventure, Drama",8.2,7,104342
Knock Knock,R,99,"Drama, Thriller",4.9,10,94594
